"zucchini","주키니"
"orange","오렌지"
"penguin","펭귄"
"viper","독사"
"urchin","성게"
"nectar","꽃꿀"
"xerus","제루스"
"ice","얼음"
"flower","꽃"
"jewel","보석"
"nurse","간호사"
"window","창문"
"cloud","구름"
"goat","염소"
"bamboo","대나무"
"zephyr","산들바람"
"robot","로봇"
"hedgehog","고슴도치"
"xenon","제논"
"quartz","석영"
"buffalo","버팔로"
"gorge","협곡"
"elm","느릅나무"
"ocean","대양"
"kangaroo","캥거루"
"harbor","항구"
"watch","시계"
"nest","둥지"
"dolphin","돌고래"
"cricket","귀뚜라미"
"whale","고래"
"crater","분화구"
"knight","기사"
"glacier","빙하"
"lemur","여우원숭이"
"isotope","동위원소"
"vase","꽃병"
"grape","포도"
"drizzle","이슬비"
"umbrella","우산"
"topaz","토파즈"
"jungle","정글"
"turtle","거북이"
"zenith","천정"
"mirage","신기루"
"yoyo","요요"
"nectarine","천도복숭아"
"yogurt","요거트"
"jaguar","재규어"
"lion","사자"
"lychee","리치"
"key","열쇠"
"cascade","폭포"
"walrus","바다코끼리"
"ball","공"
"macaw","마코 앵무새"
"ear","귀"
"feather","깃털"
"actor","배우"
"vulture","독수리"
"dog","개"
"beacon","봉화"
"guitar","기타"
"azure","하늘색"
"garden","정원"
"horizon","수평선"
"arch","아치"
"hive","벌집"
"peach","복숭아"
"melon","멜론"
"whippet","휘핏"
"island","섬"
"jasmine","자스민"
"xerophyte","건생 식물"
"panther","표범"
"mouse","쥐"
"queen","여왕"
"notebook","공책"
"quilt","이불"
"tamarin","타마린"
"stream","시내"
"dragon","용"
"prairie","대초원"
"spoon","숟가락"
"zoo","동물원"
"mountain","산"
"ring","반지"
"echo","메아리"
"giant","거인"
"banana","바나나"
"rabbit","토끼"
"indigo","남색"
"forest","숲"
"ocelot","오셀롯"
"seahorse","해마"
"torrent","급류"
"meadow","목초지"
"honey","꿀"
"lantern","랜턴"
"moon","달"
"umbrella tree","우산나무"
"violet","제비꽃"
"yeti","설인"
"pearl","진주"
"toucan","투칸"
"dune","모래 언덕"
"grove","숲"
"eclipse","일식"
"snake","뱀"
"apple","사과"
"candle","촛불"
"savanna","사바나"
"breeze","산들바람"
"narwhal","일각고래"
"rainbow","무지개"
"telescope","망원경"
"sapphire","사파이어"
"falcon","매"
"yarn","실"
"bison","들소"
"star","별"
"airplane","비행기"
"xylophone","실로폰"
"kite","연"
"lamp","램프"
"yak","야크"
"dew","이슬"
"zebra","얼룩말"
"village","마을"
"tiger","호랑이"
"parrot","앵무새"
"chimera","키메라"
"upland","고원"
"quail","메추라기"
"ladder","사다리"
"jelly","젤리"
"lotus","연꽃"
"cherry","체리"
"rapids","급류"
"fennec","사막여우"
"basket","바구니"
"quokka","쿼카"
"volcano","화산"
"house","집"
"koala","코알라"
"king","왕"
"car","자동차"
"date","대추"
"canyon","협곡"
"water","물"
"bridge","다리"
"yearling","연령"
"elephant","코끼리"
"albatross","신천옹"
"dandelion","민들레"
"lagoon","석호"
"jade","비취"
"fish","물고기"
"duck","오리"
"peacock","공작새"
"mirror","거울"
"hermit","은둔자"
"x-ray","엑스레이"
"vista","전망"
"pen","펜"
"orchard","과수원"
"wolf","늑대"
"wetland","습지"
"ember","잉걸불"
"fjord","피오르드"
"uranium","우라늄"
"ridge","산등성이"
"jam","잼"
"mango","망고"
"igloo","이글루"
"lemon","레몬"
"umbrella bird","우산새"
"waterfall","폭포"
"ant","개미"
"pencil","연필"
